"id","lang","name","description"
"1","cs","Savci","Třída teplokrevných obratlovců s mléčnými žlázami."
"1","en","Mammals","A class of warm-blooded vertebrates with mammary glands."
"1","de","Säugetiere","Eine Klasse von Warmblütern Wirbeltieren mit Milchdrüsen."
"2","cs","Ptáci","Třída teplokrevných obratlovců s peřím a zobákem."
"2","en","Birds","A class of warm-blooded vertebrates with feathers and beaks."
"2","de","Vögel","Eine Klasse von Warmblütern Wirbeltieren mit Federn und Schnäbeln."
"3","cs","Plazi","Studenokrevní obratlovci s šupinami."
"3","en","Reptiles","Cold-blooded vertebrates with scales."
"3","de","Reptilien","Kaltblütige Wirbeltiere mit Schuppen."
"4","cs","Obojživelníci","Obratlovci, kteří žijí ve vodě i na souši."
"4","en","Amphibians","Vertebrates that live both in water and on land."
"4","de","Amphibien","Wirbeltiere, die sowohl im Wasser als auch an Land leben."
"5","cs","Ryby paprskoploutvé","Třída ryb s paprskovitými ploutvemi."
"5","en","Ray-finned fishes","A class of fish with ray-like fins."
"5","de","Strahlflosser","Eine Klasse von Fischen mit strahlenartigen Flossen."
"6","cs","Paryby","Třída chrupavčitých ryb jako jsou žraloci a rejnoci."
"6","en","Cartilaginous fishes","A class of cartilaginous fish such as sharks and rays."
"6","de","Knorpelfische","Eine Klasse von Knorpelfischen wie Haie und Rochen."
"7","cs","Měkkýši","Bezobratlí živočichové jako hlemýždi a chobotnice."
"7","en","Mollusks","Invertebrates such as snails and octopuses."
"7","de","Weichtiere","Wirbellose Tiere wie Schnecken und Oktopusse."
"8","cs","Hmyz","Třída členovců s třemi páry nohou."
"8","en","Insects","A class of arthropods with three pairs of legs."
"8","de","Insekten","Eine Klasse von Gliedertieren mit drei Beinpaare."
"9","cs","Ostatní bezobratlí","Různé druhy bezobratlých, které nejsou v jiných třídách."
"9","en","Other invertebrates","Various invertebrates not classified in other groups."
"9","de","Andere Wirbellose","Verschiedene Wirbellose, die nicht in andere Gruppen eingeteilt sind."
"10","cs","Pavoukovci","Třída členovců se čtyřmi páry nohou, např. pavouci a štíři."
"10","en","Arachnids","A class of arthropods with four pairs of legs, including spiders and scorpions."
"10","de","Spinnentiere","Eine Klasse von Gliedertieren mit vier Beinpaare, einschließlich Spinnen und Skorpione."
